P9 B11-16430-12424.jpg,Non-Tumor
P9 B11-16810-24014.jpg,Non-Tumor
Case 48 - P5 C25-18486-7532.jpg,Non-Tumor
Case 48 - P5 C25-20536-9499.jpg,Non-Tumor
P9 B12-10806-33872.jpg,Non-Tumor
Case 48 - P5 C24-5972-23007.jpg,Non-Tumor
Case 48 - P5 C25-20304-11543.jpg,Non-Tumor
P9 B11-19719-21996.jpg,Non-Tumor
Case 48 - P5 C23-30981-19966.jpg,viable: non-viable
Case 48 - P5 C25-17864-19558.jpg,Non-Tumor
Case 48 - P5 C23-29743-6511.jpg,Viable
Case 48 - P5 C24-21815-17299.jpg,Non-Tumor
P9 B11-6871-31252.jpg,Non-Tumor
P9 B12-10654-27260.jpg,Non-Tumor
P9 B11-5522-26247.jpg,Non-Tumor
Case 48 - P5 C24-12193-15641.jpg,Non-Tumor
P9 B12-14125-15905.jpg,Non-Tumor
P9 B12-13935-21508.jpg,Non-Tumor
Case 48 - P5 C23-32821-29229.jpg,Non-Tumor
P9 B11-11002-19483.jpg,Non-Tumor
P9 B11-16083-27658.jpg,Non-Tumor
Case 48 - P5 C25-26937-1708.jpg,Non-Tumor
Case 48 - P5 C25-29486-14939.jpg,Non-Tumor
Case 48 - P5 C24-17000-3955.jpg,Non-Tumor
Case 48 - P5 C24-7958-14175.jpg,Non-Tumor
Case 48 - P5 C25-26246-2368.jpg,Non-Tumor
Case 48 - P5 C24-8126-17022.jpg,Non-Tumor
P9 B11-21061-24042.jpg,Non-Tumor
zannotated,Non-Tumor
P9 B11-14643-10873.jpg,Non-Tumor
Case 48 - P5 C25-12809-12456.jpg,Non-Tumor
Case 48 - P5 C23-34632-9865.jpg,viable: non-viable
P9 B11-20225-12843.jpg,Non-Tumor
Case 48 - P5 C24-15473-17927.jpg,Non-Tumor
Case 48 - P5 C25-14114-21655.jpg,Non-Tumor
Case 48 - P5 C24-21763-16611.jpg,Non-Tumor
Case 48 - P5 C25-5819-20106.jpg,Non-Tumor
Case 48 - P5 C25-7779-23788.jpg,Non-Tumor
P9 B11-10159-22267.jpg,Non-Tumor
P9 B11-16073-4565.jpg,Non-Tumor
Case 48 - P5 C23-33786-5204.jpg,Viable
Case 48 - P5 C25-20418-21432.jpg,Non-Tumor
Case 48 - P5 C25-12843-22806.jpg,Non-Tumor
Case 48 - P5 C25-8387-24405.jpg,Non-Tumor
Case 48 - P5 C24-9713-21393.jpg,Non-Tumor
Case 48 - P5 C23-34741-19829.jpg,Viable
Case 48 - P5 C24-5204-12840.jpg,Non-Tumor
P9 B11-16749-7610.jpg,Non-Tumor
P9 B11-10954-27548.jpg,Non-Tumor
P9 B11-18148-24277.jpg,Non-Tumor
Case 48 - P5 C24-21560-34143.jpg,Non-Tumor
