Case 4 C34-44491-21355.jpg,Non-Tumor
Case 4 C31-25781-32079.jpg,Non-Viable-Tumor
Case 4 C28-42525-25070.jpg,Non-Viable-Tumor
Case 4 C34-42840-21049.jpg,Non-Tumor
Case 4 C29-26385-28225.jpg,Non-Viable-Tumor
Case 4 C31-35324-16735.jpg,Viable
Case 4 C29-40078-13241.jpg,Non-Tumor
Case 4 C31-33075-15855.jpg,viable: non-viable
Case 4 C31-32902-21086.jpg,Viable
Case 4 C29-29639-16570.jpg,Viable
Case 4 C28-39877-24842.jpg,Viable
Case 4 C31-31978-13119.jpg,viable: non-viable
Case 4 C29-33826-27241.jpg,Non-Viable-Tumor
Case 4 C29-31369-33022.jpg,Non-Viable-Tumor
Case 4 C34-34486-29517.jpg,Non-Viable-Tumor
Case 4 C34-41931-27880.jpg,Non-Viable-Tumor
Case 4 C34-43977-24577.jpg,Non-Tumor
Case 4 C48-16969-13515.jpg,Non-Tumor
Case 4 C31-27678-14221.jpg,Viable
Case 4 C34-33534-16910.jpg,Viable
Case 4 C31-32205-12759.jpg,viable: non-viable
Case 4 C34-29374-30806.jpg,Non-Viable-Tumor
Case 4 C29-31670-19505.jpg,Viable
Case 4 C48-15768-33767.jpg,Non-Tumor
Case 4 C29-27987-31224.jpg,Non-Viable-Tumor
Case 4 C34-37729-30592.jpg,Non-Viable-Tumor
Case 4 C29-30319-13766.jpg,Viable
Case 4 C29-30502-34418.jpg,Non-Viable-Tumor
Case 4 C31-35929-17743.jpg,Viable
Case 4 C29-35879-13825.jpg,viable: non-viable
Case 4 C28-39674-17239.jpg,Viable
Case 4 C34-34338-25165.jpg,viable: non-viable
Case 4 C48-16689-23057.jpg,Non-Tumor
Case 4 C29-31054-35813.jpg,Non-Viable-Tumor
Case 4 C34-31582-34370.jpg,Non-Viable-Tumor
Case 4 C34-40371-21884.jpg,Non-Viable-Tumor
Case 4 C31-37390-31078.jpg,Non-Viable-Tumor
Case 4 C31-30577-21392.jpg,Viable
Case 4 C31-41557-17880.jpg,Viable
Case 4 C31-42832-24046.jpg,viable: non-viable
Case 4 C31-36283-29598.jpg,Non-Viable-Tumor
Case 4 C31-28807-3942.jpg,Non-Viable-Tumor
Case 4 C34-31245-35957.jpg,Non-Viable-Tumor
Case 4 C29-26451-27935.jpg,Non-Viable-Tumor
Case 4 C29-26629-4434.jpg,Non-Viable-Tumor
Case 4 C28-41935-19673.jpg,Viable
Case 4 C28-41530-23152.jpg,viable: non-viable
Case 4 C28-42724-16956.jpg,Non-Tumor
Case 4 C34-30175-9259.jpg,Viable
Case 4 C34-38608-21388.jpg,Viable
